05002, 05031, 05045, 05148, 05243, 05475, 05495, 05543, 05604, 05658, 
05665, 05697, 05761, 05854, 13006, 13212, 13244, 13430, 13654, 13670, 
13688, 13830, 15537, 15594, 15638, 15676, 15681, 15693, 15753, 15759, 
15814, 15816, 17541, 17653, 18001, 18029, 18094, 18150, 18205, 18410, 
18460, 18473, 18592, 18610, 18753, 18756, 18815, 19001, 19022, 19050, 
19075, 19110, 19130, 19137, 19142, 19212, 19256, 19290, 19300, 19318, 
19355, 19364, 19392, 19397, 19418, 19450, 19455, 19473, 19513, 19517, 
19532, 19533, 19573, 19585, 19622, 19693, 19698, 19701, 19743, 19760, 
19780, 19785, 19807, 19809, 19821, 19824, 19845, 20001, 20011, 20013, 
20032, 20045, 20175, 20178, 20228, 20238, 20250, 20383, 20400, 20550, 
20570, 20621, 20750, 20770, 20787, 23068, 23079, 23350, 23417, 23419, 
23466, 23672, 23682, 23807, 23855, 25328, 25506, 27001, 27006, 27025, 
27050, 27073, 27075, 27077, 27082, 27086, 27099, 27135, 27150, 27160, 
27205, 27245, 27250, 27361, 27413, 27425, 27430, 27450, 27491, 27495, 
27591, 27600, 27615, 27660, 27745, 27787, 27800, 27810, 41001, 41013, 
41016, 41020, 41357, 41396, 41551, 41676, 44001, 44035, 44078, 44090, 
44430, 44560, 44650, 44847, 47001, 47030, 47053, 47058, 47161, 47170, 
47189, 47205, 47245, 47258, 47288, 47460, 47605, 47660, 47692, 47707, 
47980, 50001, 50223, 50251, 50313, 50318, 50325, 50330, 50350, 50370, 
50400, 50450, 50568, 50573, 50577, 50590, 50606, 50680, 50683, 50686, 
50689, 50711, 52001, 52019, 52036, 52051, 52079, 52110, 52203, 52207, 
52210, 52215, 52224, 52227, 52233, 52240, 52250, 52254, 52256, 52258, 
52260, 52287, 52317, 52320, 52323, 52352, 52354, 52356, 52381, 52385, 
52390, 52399, 52405, 52411, 52418, 52427, 52435, 52473, 52480, 52490, 
52506, 52520, 52540, 52560, 52565, 52573, 52585, 52612, 52621, 52678, 
52683, 52685, 52687, 52693, 52696, 52699, 52720, 52786, 52788, 52835, 
52838, 52885, 54001, 54003, 54051, 54099, 54109, 54125, 54128, 54172, 
54174, 54206, 54223, 54245, 54250, 54261, 54313, 54344, 54347, 54377, 
54385, 54398, 54405, 54418, 54480, 54498, 54518, 54520, 54553, 54599, 
54660, 54670, 54673, 54680, 54720, 54743, 54800, 54810, 54820, 54874, 
70001, 70110, 70124, 70204, 70215, 70221, 70230, 70233, 70235, 70265, 
70400, 70418, 70429, 70473, 70508, 70523, 70670, 70678, 70702, 70708, 
70713, 70717, 70742, 70771, 70820, 70823, 73001, 73024, 73026, 73030, 
73050, 73067, 73148, 73168, 73200, 73217, 73226, 73236, 73268, 73270, 
73275, 73283, 73319, 73347, 73349, 73352, 73408, 73411, 73443, 73449, 
73461, 73483, 73504, 73520, 73547, 73555, 73563, 73585, 73616, 73622, 
73624, 73671, 73675, 73678, 73686, 73770, 73854, 73861, 73870, 73873, 
76001, 76020, 76036, 76109, 76111, 76113, 76122, 76126, 76147, 76233, 
76243, 76246, 76248, 76250, 76275, 76306, 76318, 76364, 76400, 76497, 
76520, 76563, 76606, 76616, 76622, 76670, 76736, 76823, 76828, 76845, 
76863, 76869, 76890, 76892, 76895, 81001, 81065, 81220, 81300, 81430, 
81591, 81736, 81794, 85001, 85010, 85110, 85139, 85162, 85225, 85230, 
85250, 85279, 85300, 85315, 85325, 85400, 85410, 85430, 85440, 86001, 
86219, 86320, 86568, 86569, 86571, 86573, 86749, 86755, 86757, 86760, 
86865, 86885, 91001, 91263, 91405, 91407, 91430, 91460, 91530, 91536, 
91540, 91669, 91798, 94001, 94343, 94663, 94883, 94884, 94885, 94886, 
94887, 94888, 95001, 95015, 95025, 95200, 97001, 97161, 97511, 97666, 
99001, 99524, 99624, 99773
